Permit Number,Latitude,Longitude,Crop(s),AF_Acre,ReportYear
MS-GW-01408,33.7217,-90.6661,Cotton,0.213977011,2019
MS-GW-01408,33.2667,-90.7733,Corn,0.79,2016
MS-GW-01487,33.2667,-90.7733,Corn,0.69,2017
MS-GW-01487,33.2667,-90.7733,Soybeans,1.02,2018
MS-GW-01487,33.2667,-90.7733,Corn,0.494151515,2019
MS-GW-01497,33.2606,-90.7856,Soybeans,0.16,2018
MS-GW-01497,33.2606,-90.7856,Corn,1.886833355,2019
MS-GW-01497,33.2733,-90.9775,Soybeans,0.0,2018
MS-GW-01570,33.2733,-90.9775,Corn,0.527250509,2019
MS-GW-01570,33.2819,-90.9717,Soybeans,1.48,2018
MS-GW-01570,33.2819,-90.9717,Soybeans,0.392427543,2019
MS-GW-01571,33.2789,-90.9722,Soybeans,2.68,2018
MS-GW-01571,33.2731,-90.9953,Soybeans,1.0,2018
MS-GW-01571,33.2731,-90.9953,Corn,0.6114,2019
MS-GW-01571,33.2731,-90.9906,Soybeans,0.92,2018
MS-GW-01631,33.2731,-90.9906,Corn,0.543626667,2019
MS-GW-01822,33.2878,-90.9744,Soybeans,1.35,2018
MS-GW-01822,33.2878,-90.9769,Soybeans,1.65,2018
MS-GW-01823,33.2878,-90.9769,Soybeans,0.71895,2019
MS-GW-01823,34.2669,-90.6433,Soybeans,0.0,2017
MS-GW-01823,34.2669,-90.6433,Cotton,0.2,2018
MS-GW-01823,34.2669,-90.6433,Cotton,0.219404862,2019
MS-GW-02098,33.44,-90.8947,Fish Culture,2.419588235,2015
MS-GW-02098,33.44,-90.8947,Fish Culture,2.29,2016
MS-GW-02098,33.44,-90.8947,Fish Culture,6.8,2018
MS-GW-02098,33.44,-90.8947,Fish Culture,4.393196078,2019
MS-GW-02098,33.5739,-90.2703,Soybeans,0.729066959,2014
MS-GW-02098,33.5739,-90.2703,Soybeans,1.10894174,2015
MS-GW-02098,33.5739,-90.2703,Soybeans,1.08,2016
MS-GW-02208,33.5739,-90.2703,Soybeans,1.28,2018
MS-GW-02331,33.3961,-90.5267,Soybeans,0.81,2016
MS-GW-02331,33.3961,-90.5267,Corn,0.66,2017
MS-GW-02331,33.3961,-90.5267,Soybeans,0.58,2018
MS-GW-02332,33.3961,-90.5267,Soybeans,0.761605263,2019
MS-GW-02332,33.3867,-90.5267,Corn,1.14,2016
MS-GW-02333,33.3867,-90.5267,Soybeans,0.42,2017
MS-GW-02333,33.3867,-90.5267,Corn,0.65,2018
MS-GW-02333,33.3867,-90.5267,Corn,0.611409836,2019
MS-GW-02334,33.5889,-90.6317,Soybeans,0.77,2016
MS-GW-02334,33.5889,-90.6317,Soybeans,0.09,2017
MS-GW-02345,34.1819,-90.2639,Soybeans,0.7,2016
MS-GW-02345,34.1819,-90.2639,Soybeans,0.71,2018
MS-GW-02346,34.125,-90.3375,Rice,2.567880342,2015
MS-GW-02346,34.125,-90.3375,Soybeans,0.7,2017
MS-GW-02485,34.125,-90.3375,Soybeans,0.95,2018
MS-GW-02486,34.125,-90.3375,Soybeans,0.819418182,2019
MS-GW-02486,33.8508,-90.8292,Soybeans,0.09,2017
MS-GW-02486,33.9222,-90.3889,Corn,0.169372596,2014
MS-GW-02486,33.9222,-90.3889,Corn,0.621420958,2015
MS-GW-02486,33.9222,-90.3889,Corn,0.6,2016
MS-GW-02486,33.9222,-90.3889,Corn,0.21,2017
MS-GW-02488,33.9222,-90.3889,Soybeans,0.64,2018
MS-GW-02488,33.9222,-90.3889,Corn,1.599309521,2019
MS-GW-02489,34.5678,-90.3239,Soybeans,0.36536078,2019
MS-GW-02489,34.2819,-90.3778,Cotton,0.874208219,2014
MS-GW-02490,34.2819,-90.3778,Cotton,0.210498794,2015
MS-GW-02490,34.275,-90.3806,Cotton,0.132592806,2014
MS-GW-02511,34.275,-90.3806,Cotton,0.401461077,2015
MS-GW-02511,34.275,-90.3806,Cotton,0.157530892,2014
MS-GW-02511,34.275,-90.3806,Cotton,0.576722441,2015
MS-GW-02516,34.2806,-90.3694,Cotton,0.017022072,2014
MS-GW-02516,34.2806,-90.3694,Cotton,0.517439289,2015
MS-GW-02533,34.145,-90.2586,Soybeans,0.5,2016
MS-GW-02533,34.145,-90.2586,Soybeans,0.39,2017
MS-GW-02542,34.1731,-90.2547,Soybeans,0.39,2016
MS-GW-02542,34.1731,-90.2547,Soybeans,0.26,2017
MS-GW-02542,33.8325,-90.2539,Cotton,0.127322212,2019
MS-GW-02542,33.825,-90.2372,Cotton,0.075331877,2014
MS-GW-02543,33.825,-90.2372,Soybeans,0.52334689,2015
MS-GW-02543,33.825,-90.2372,Corn,0.61,2016
MS-GW-02543,33.825,-90.2372,Cotton,0.14,2017
MS-GW-02543,33.825,-90.2372,Cotton,0.09,2018
MS-GW-02543,33.825,-90.2372,Cotton,0.177447944,2019
MS-GW-02556,33.8494,-90.2542,Soybeans,0.823522032,2019
MS-GW-02568,33.8214,-90.23,Cotton,0.01,2016
MS-GW-02568,33.8214,-90.23,Cotton,0.04,2017
MS-GW-02580,33.8328,-90.2478,Corn,0.08,2018
MS-GW-02580,33.8328,-90.2478,Cotton,0.038660257,2019
MS-GW-02584,33.31,-90.4011,Corn,0.39,2017
MS-GW-02584,33.31,-90.4011,Corn,0.77,2018
MS-GW-02584,33.31,-90.4011,Soybeans,0.764175,2019
MS-GW-02584,33.3397,-90.6594,Soybeans,0.4,2018
MS-GW-02605,33.3397,-90.6594,Soybeans,0.211549133,2019
MS-GW-02638,33.1083,-90.5639,Rice,5.42,2017
MS-GW-02638,33.1083,-90.5639,Rice,2.45,2018
MS-GW-02656,34.8128,-90.2331,Soybeans,0.43,2017
MS-GW-02656,34.8128,-90.2331,Rice,1.94,2018
MS-GW-02656,34.8128,-90.2331,Soybeans,0.0,2019
MS-GW-02673,34.8083,-90.2344,Soybeans,1.7,2016
MS-GW-02673,34.8083,-90.2344,Soybeans,0.0,2017
MS-GW-02673,34.8083,-90.2344,Soybeans,0.0,2018
MS-GW-02674,34.8083,-90.2344,Soybeans,0.0,2019
MS-GW-02675,34.6156,-90.2631,Rice,2.0127,2015
MS-GW-02675,34.6156,-90.2631,Soybeans,0.477742857,2019
MS-GW-02676,33.0403,-90.3739,Corn,0.82,2018
MS-GW-02676,34.5939,-90.3444,Soybeans,1.320782875,2014
MS-GW-02677,34.5939,-90.3444,Soybeans,0.609630303,2015
MS-GW-02677,34.5939,-90.3444,Cotton,0.46,2016
MS-GW-02695,34.5939,-90.3444,Soybeans,0.12202381,2019
MS-GW-02695,34.5872,-90.3519,Corn,0.434525862,2014
MS-GW-02695,34.5872,-90.3519,Cotton,0.337341085,2015
MS-GW-02695,34.5872,-90.3519,Cotton,0.76,2016
MS-GW-02698,34.5872,-90.3519,Cotton,0.4,2018
MS-GW-02698,34.5872,-90.3519,Cotton,0.0,2019
MS-GW-02698,32.704166,-90.97,Soybeans,0.85,2016
MS-GW-02698,33.3144,-90.7233,Soybeans,0.37,2018
MS-GW-02698,33.3144,-90.7233,Soybeans,0.15576,2019
MS-GW-02762,33.7583,-90.4508,Soybeans,0.34,2017
MS-GW-02762,33.7583,-90.4508,Soybeans,0.20161,2019
MS-GW-02764,34.6703,-90.3628,Rice,0.02,2017
MS-GW-02764,34.6703,-90.3628,Soybeans,0.07,2018
MS-GW-02764,34.6703,-90.3628,Rice,0.211403859,2019
MS-GW-02784,34.6742,-90.3497,Rice,0.08,2017
MS-GW-02784,34.6739,-90.3558,Rice,0.09,2017
MS-GW-02784,34.6739,-90.3558,Soybeans,0.52,2018
MS-GW-02784,34.6892,-90.4061,Cotton,0.21,2017
MS-GW-02784,34.6892,-90.4061,Cotton,0.65,2018
MS-GW-02788,34.6892,-90.4061,Cotton,0.0,2019
MS-GW-02788,34.7842,-90.3478,Soybeans,0.22,2018
MS-GW-02788,34.7842,-90.3478,Cotton,0.193824205,2019
MS-GW-02789,34.7506,-90.3344,Soybeans,0.674173333,2014
MS-GW-02789,34.7506,-90.3344,Soybeans,0.536287425,2015
MS-GW-02828,34.7506,-90.3344,Soybeans,0.38,2016
MS-GW-02828,34.7506,-90.3344,Soybeans,0.151278947,2019
MS-GW-02828,34.6661,-90.3844,Cotton,0.144183099,2014
MS-GW-02829,34.6661,-90.3844,Corn,0.663535211,2015
MS-GW-02829,34.6661,-90.3844,Cotton,0.3,2016
MS-GW-02829,34.6661,-90.3844,Cotton,0.22,2017
MS-GW-02833,34.6661,-90.3844,Cotton,0.52,2018
MS-GW-02833,34.6661,-90.3844,Cotton,0.0,2019
MS-GW-02929,34.5747,-90.4281,Corn,0.890563636,2015
MS-GW-02931,34.5747,-90.4281,Soybeans,0.79,2016
MS-GW-03186,34.5747,-90.4281,Corn,0.6,2018
MS-GW-03186,34.5756,-90.4328,Corn,0.770303448,2015
MS-GW-03186,34.5756,-90.4328,Soybeans,0.85,2016
MS-GW-03186,34.5756,-90.4328,Soybeans,0.27,2017
MS-GW-03245,34.5756,-90.4328,Corn,0.71,2018
MS-GW-03245,32.9278,-90.9286,Soybeans,1.0,2018
MS-GW-03245,34.4836,-90.3917,Rice,0.36915016,2015
MS-GW-03257,34.4836,-90.3917,Soybeans,0.06,2016
MS-GW-03257,34.4836,-90.3917,Rice,0.3,2017
MS-GW-03257,34.4836,-90.3917,Rice,0.16,2018
MS-GW-03257,34.4836,-90.3917,Rice,0.328771167,2019
MS-GW-03260,34.5058,-90.4128,Soybeans,0.41,2017
MS-GW-03260,34.5058,-90.4128,Rice,0.34,2018
MS-GW-03260,34.5058,-90.4128,Corn,0.308103602,2019
MS-GW-03260,34.4742,-90.3778,Soybeans,0.297858988,2019
MS-GW-03293,34.5158,-90.4572,Cotton,0.27,2018
MS-GW-03293,34.5158,-90.4572,Cotton,2.46e-05,2019
MS-GW-03293,34.5108,-90.3878,Soybeans,0.0,2018
MS-GW-03293,34.5108,-90.3878,Soybeans,0.0,2019
MS-GW-03294,34.6019,-90.4639,Soybeans,0.0,2019
MS-GW-03294,34.1036,-90.355,Soybeans,0.58,2018
MS-GW-03294,34.0886,-90.3806,Corn,0.48,2018
MS-GW-03301,33.9269,-90.4592,Soybeans,1.91605,2014
MS-GW-03301,33.9269,-90.4592,Soybeans,0.8075125,2015
MS-GW-03301,33.9269,-90.4592,Soybeans,0.25,2017
MS-GW-03301,33.9269,-90.4592,Soybeans,0.61,2018
MS-GW-03301,33.1711,-90.3825,Cotton,0.67,2018
MS-GW-03301,33.1711,-90.3825,Cotton,0.176393167,2019
MS-GW-03343,33.0464,-90.8125,Corn,0.617233333,2015
MS-GW-03343,33.0464,-90.8125,Corn,0.76,2016
MS-GW-03343,33.0464,-90.8125,Soybeans,0.81,2018
MS-GW-03373,33.0464,-90.8125,Corn,0.497866667,2019
MS-GW-03373,33.1408,-90.7981,Soybeans,0.691183333,2015
MS-GW-03373,33.1408,-90.7981,Soybeans,0.45,2016
MS-GW-03373,33.1408,-90.7981,Soybeans,0.35,2017
MS-GW-03416,33.1408,-90.7981,Soybeans,0.28,2018
MS-GW-03416,33.1408,-90.7981,Soybeans,0.429454545,2019
MS-GW-03416,34.7942,-90.3225,Soybeans,0.022963636,2015
MS-GW-03416,34.7942,-90.3225,Soybeans,0.92,2016
MS-GW-03417,34.7942,-90.3225,Corn,0.33,2017
MS-GW-03417,34.7942,-90.3225,Corn,0.84,2018
MS-GW-03417,34.7942,-90.3225,Cotton,0.0,2019
MS-GW-03417,34.7881,-90.315,Soybeans,0.8,2016
MS-GW-03446,34.7881,-90.315,Soybeans,0.83,2018
MS-GW-03446,34.7881,-90.315,Soybeans,0.590213333,2019
MS-GW-03446,34.7878,-90.2944,Soybeans,0.130708333,2015
MS-GW-03446,34.7878,-90.2944,Soybeans,0.6,2016
MS-GW-03446,34.7878,-90.2944,Soybeans,0.0,2017
MS-GW-03446,34.7878,-90.2944,Soybeans,0.5,2018
MS-GW-03451,34.7878,-90.2944,Soybeans,0.398017391,2019
MS-GW-03451,32.9078,-90.7858,Soybeans,1.25036,2015
MS-GW-03451,32.9078,-90.7858,Soybeans,0.57,2016
MS-GW-03451,32.9078,-90.7858,Soybeans,0.27,2017
MS-GW-03461,32.9078,-90.7858,Soybeans,1.21,2018
MS-GW-03461,34.82,-90.2706,Soybeans,0.0,2015
MS-GW-03461,34.82,-90.2706,Soybeans,0.0,2017
MS-GW-03461,34.82,-90.2706,Soybeans,0.0,2018
MS-GW-03461,34.82,-90.2706,Cotton,0.0,2019
MS-GW-03461,33.9294,-90.3428,Corn,0.298942278,2015
MS-GW-03612,33.9294,-90.3428,Corn,0.34,2016
MS-GW-03612,33.9294,-90.3428,Cotton,0.32,2017
MS-GW-03635,33.9294,-90.3428,Soybeans,0.22,2018
MS-GW-03635,33.9236,-90.3475,Corn,0.528654353,2015
MS-GW-03635,33.9236,-90.3475,Corn,0.67,2016
MS-GW-03635,33.9236,-90.3475,Cotton,0.37,2017
MS-GW-03669,33.9236,-90.3475,Cotton,0.39,2018
MS-GW-03669,33.8425,-90.3242,Soybeans,0.0,2014
MS-GW-03670,33.8425,-90.3242,Soybeans,0.539832,2015
MS-GW-03670,33.8425,-90.3242,Cotton,1.31,2016
MS-GW-03670,33.8425,-90.3242,Corn,0.91,2017
MS-GW-03671,33.8425,-90.3242,Soybeans,1.4,2018
MS-GW-03671,33.8425,-90.3242,Cotton,0.45873,2019
MS-GW-03672,33.865,-90.3536,Cotton,0.0,2014
MS-GW-03672,33.865,-90.3536,Soybeans,0.73,2016
MS-GW-03673,33.865,-90.3536,Soybeans,1.36,2018
MS-GW-03673,33.865,-90.3536,Cotton,1.41775,2019
MS-GW-03673,33.8569,-90.3375,Corn,0.334315353,2014
MS-GW-03673,33.8569,-90.3375,Corn,0.791879668,2015
MS-GW-03676,33.8569,-90.3375,Corn,1.01,2016
MS-GW-03677,33.8569,-90.3375,Cotton,0.55,2017
MS-GW-03677,33.8569,-90.3375,Corn,0.81,2018
MS-GW-03677,33.8569,-90.3375,Cotton,0.213509677,2019
MS-GW-03677,33.8594,-90.8497,Rice,3.67,2016
MS-GW-03677,33.8594,-90.8497,Rice,2.82,2018
MS-GW-03679,32.9394,-90.8914,Cotton,0.0,2014
MS-GW-03679,32.9394,-90.8914,Soybeans,1.153948905,2015
MS-GW-03680,32.9394,-90.8914,Corn,0.55,2016
MS-GW-03680,32.9394,-90.8914,Cotton,0.0,2017
MS-GW-03680,32.9394,-90.8914,Corn,0.98,2018
MS-GW-03681,34.1342,-90.4125,Soybeans,1.720527543,2015
MS-GW-03681,34.1342,-90.4125,Soybeans,0.97,2016
MS-GW-03681,34.1342,-90.4125,Rice,2.287468849,2019
MS-GW-03759,34.1344,-90.4028,Soybeans,1.597933981,2015
MS-GW-03759,34.1344,-90.4028,Soybeans,0.73,2016
MS-GW-03767,34.1344,-90.4028,Rice,2.088042587,2019
MS-GW-03767,34.1283,-90.3883,Corn,0.706944797,2015
MS-GW-03768,34.1283,-90.3883,Cotton,0.29,2016
MS-GW-03768,34.1097,-90.3994,Corn,0.17,2016
MS-GW-03775,34.1097,-90.3994,Corn,1.39,2018
MS-GW-03775,34.1097,-90.3994,Cotton,1.830350711,2019
MS-GW-03775,34.0994,-90.4136,Corn,0.111841614,2014
MS-GW-03775,34.0994,-90.4136,Soybeans,1.02113549,2015
MS-GW-03775,34.0994,-90.4136,Corn,1.01,2016
MS-GW-03782,34.0994,-90.4136,Corn,1.48,2018
MS-GW-03803,34.0994,-90.4136,Cotton,0.974382706,2019
MS-GW-03803,34.089444,-90.369167,Corn,0.359452157,2019
MS-GW-03803,34.0828,-90.3633,Corn,0.337971728,2014
MS-GW-03803,34.0828,-90.3633,Corn,0.660042256,2015
MS-GW-03803,34.0828,-90.3633,Soybeans,0.52,2016
MS-GW-03803,34.0828,-90.3633,Corn,0.24,2017
MS-GW-03826,34.0828,-90.3633,Cotton,0.39,2018
MS-GW-03826,34.0828,-90.3633,Corn,0.397833657,2019
MS-GW-03826,34.0994,-90.3661,Soybeans,0.61,2018
MS-GW-03870,34.0994,-90.3661,Cotton,0.11989022,2019
MS-GW-03870,34.0978,-90.3575,Cotton,0.1,2017
MS-GW-03870,34.0978,-90.3575,Corn,0.63,2018
MS-GW-03870,34.0978,-90.3575,Cotton,0.246738213,2019
MS-GW-03906,34.0925,-90.3569,Cotton,0.22,2017
MS-GW-03906,34.0925,-90.3569,Corn,1.07,2018
MS-GW-03906,34.0925,-90.3569,Cotton,0.182105672,2019
MS-GW-03940,33.2006,-90.5436,Soybeans,1.41,2016
MS-GW-03940,33.2006,-90.5436,Soybeans,0.41,2017
MS-GW-03940,33.1711,-90.5089,Soybeans,0.18,2018
MS-GW-03940,33.1742,-90.5072,Soybeans,0.24,2018
MS-GW-03997,33.5308,-90.3608,Cotton,0.15,2016
MS-GW-03997,33.5308,-90.3608,Cotton,0.12,2017
MS-GW-03997,33.5308,-90.3608,Cotton,0.19,2018
MS-GW-03997,33.5308,-90.3608,Cotton,0.10754,2019
MS-GW-04004,34.8164,-90.2153,Rice,1.378054943,2019
MS-GW-04004,33.3939,-90.4831,Soybeans,1.921114286,2015
MS-GW-04004,33.3939,-90.4831,Soybeans,1.85,2016
MS-GW-04004,33.3939,-90.4831,Soybeans,0.65,2017
MS-GW-04006,33.3939,-90.4831,Soybeans,1.04,2018
MS-GW-04006,33.3939,-90.4831,Soybeans,1.2971,2019
MS-GW-04007,33.7708,-90.2111,Soybeans,0.638071429,2014
MS-GW-04007,33.7708,-90.2111,Corn,0.371696429,2015
MS-GW-04022,33.7708,-90.2111,Soybeans,0.58,2016
MS-GW-04063,33.5689,-90.3397,Soybeans,0.62,2017
MS-GW-04063,33.5689,-90.3397,Soybeans,1.45,2018
MS-GW-04063,33.5689,-90.3397,Corn,0.946166404,2019
MS-GW-04070,33.3719,-90.3392,Soybeans,4.47,2016
MS-GW-04070,33.3719,-90.3392,Corn,1.002098361,2019
MS-GW-04070,34.7725,-90.3692,Soybeans,0.25,2016
MS-GW-04083,34.7725,-90.3692,Soybeans,0.0,2017
MS-GW-04083,34.7725,-90.3692,Soybeans,0.59,2018
MS-GW-04083,34.7725,-90.3692,Soybeans,0.0,2019
MS-GW-04083,33.0328,-90.9572,Soybeans,0.140518182,2014
MS-GW-04083,33.0328,-90.9572,Corn,0.416547368,2015
MS-GW-04083,33.0328,-90.9572,Soybeans,0.62,2016
MS-GW-04086,33.0328,-90.9572,Corn,7.78e-05,2017
MS-GW-04086,33.0328,-90.9572,Soybeans,1.07,2018
MS-GW-04129,33.6839,-90.3614,Soybeans,0.029877867,2015
MS-GW-04129,33.6839,-90.3614,Cotton,0.0,2016
MS-GW-04129,33.6839,-90.3614,Corn,0.0,2017
MS-GW-04129,33.6839,-90.3614,Cotton,0.0,2018
MS-GW-04129,33.6931,-90.3744,Corn,0.535808696,2019
MS-GW-04161,33.6903,-90.3667,Cotton,0.34,2016
MS-GW-04161,33.6903,-90.3667,Corn,0.87,2017
MS-GW-04162,33.6903,-90.3667,Cotton,0.29,2018
MS-GW-04162,33.1194,-90.9,Cotton,0.73,2016
MS-GW-04210,33.8931,-90.4436,Rice,4.0768,2014
MS-GW-04210,33.8931,-90.4436,Soybeans,1.09765625,2015
MS-GW-04210,33.8931,-90.4436,Rice,1.72,2016
MS-GW-04210,33.8931,-90.4436,Soybeans,0.38,2017
MS-GW-04211,33.1972,-90.6606,Rice,0.56,2016
MS-GW-04211,33.1972,-90.6606,Soybeans,0.43,2017
MS-GW-04211,33.1972,-90.6606,Soybeans,0.74,2018
MS-GW-04211,33.1972,-90.6606,Rice,1.354366667,2019
MS-GW-04251,33.5506,-90.3567,Soybeans,1.538114053,2015
MS-GW-04251,33.5506,-90.3567,Corn,1.45,2016
MS-GW-04251,33.5506,-90.3567,Soybeans,0.84,2017
MS-GW-04251,33.5506,-90.3567,Corn,0.98,2017
MS-GW-04251,33.5506,-90.3567,Corn,0.98,2018
MS-GW-04251,33.5506,-90.3567,Corn,0.718572192,2019
MS-GW-04255,33.2739,-90.7375,Soybeans,0.66,2017
MS-GW-04255,33.2739,-90.7375,Soybeans,0.94,2018
MS-GW-04255,33.2739,-90.7375,Soybeans,0.63519307,2019
MS-GW-04255,33.2639,-90.8975,Soybeans,0.8585918,2014
MS-GW-04262,33.2639,-90.8975,Soybeans,0.72342246,2015
MS-GW-04262,33.2639,-90.8975,Soybeans,0.67,2016
MS-GW-04262,33.2639,-90.8975,Soybeans,0.57,2018
MS-GW-04266,33.2639,-90.8975,Soybeans,0.824946429,2019
MS-GW-04266,33.1647,-90.6164,Rice,3.91,2018
MS-GW-04266,33.1564,-90.6078,Cotton,0.78,2018
MS-GW-04289,33.9381,-90.3678,Soybeans,0.705961181,2015
MS-GW-04332,33.9381,-90.3678,Corn,0.48,2016
MS-GW-04332,33.9381,-90.3678,Cotton,0.13,2017
MS-GW-04332,33.9381,-90.3678,Cotton,0.32,2018
MS-GW-04332,33.9311,-90.3678,Soybeans,0.711486823,2015
MS-GW-04336,33.9311,-90.3678,Corn,0.53,2016
MS-GW-04336,33.9311,-90.3678,Cotton,0.32,2018
MS-GW-04336,33.4228,-90.1381,Soybeans,0.584117647,2014
MS-GW-04336,33.4228,-90.1381,Soybeans,1.085238806,2015
MS-GW-04336,33.4228,-90.1381,Corn,0.89,2016
MS-GW-04336,33.4228,-90.1381,Cotton,0.35,2017
MS-GW-04337,33.4228,-90.1381,Soybeans,0.66,2018
MS-GW-04337,33.4228,-90.1381,Corn,0.436477612,2019
MS-GW-04337,33.5003,-90.6986,Corn,0.11,2016
MS-GW-04337,33.5003,-90.6986,Soybeans,0.16,2018
MS-GW-04337,33.5003,-90.6986,Soybeans,0.087972246,2019
MS-GW-04340,33.0583,-91.0772,Soybeans,0.4,2017
MS-GW-04379,33.0583,-91.0772,Soybeans,0.57,2018
MS-GW-04379,33.2822,-90.9769,Soybeans,0.63,2016
MS-GW-04379,33.2822,-90.9769,Soybeans,0.36,2017
MS-GW-04379,33.2822,-90.9769,Soybeans,5.04,2018
MS-GW-04379,33.2822,-90.9769,Soybeans,2.756772727,2019
MS-GW-04392,33.1714,-90.5322,Cotton,0.06,2018
MS-GW-04392,34.1569,-90.4619,Soybeans,0.92,2016
MS-GW-04392,34.1569,-90.4619,Soybeans,0.83,2018
MS-GW-04392,34.1569,-90.4619,Corn,1.1149843,2019
MS-GW-04552,33.015,-90.9503,Corn,0.09424898,2014
MS-GW-04652,33.015,-90.9503,Soybeans,1.6294875,2015
MS-GW-04652,33.015,-90.9503,Corn,0.73,2016
MS-GW-04652,33.015,-90.9503,Soybeans,0.63,2017
MS-GW-04653,33.015,-90.9503,Corn,0.97,2018
MS-GW-04653,33.015,-90.9503,Soybeans,0.620513333,2019
MS-GW-04654,33.0153,-90.9503,Soybeans,0.45203,2015
MS-GW-04654,33.0153,-90.9503,Corn,0.41,2016
MS-GW-04654,33.0153,-90.9503,Soybeans,0.38,2017
MS-GW-04672,33.0153,-90.9503,Corn,0.68,2018
MS-GW-04672,33.0153,-90.9503,Soybeans,0.59306,2019
MS-GW-04672,33.0953,-90.7433,Soybeans,0.49,2018
MS-GW-04673,33.3072,-90.8964,Corn,0.292626305,2014
MS-GW-04673,33.3072,-90.8964,Soybeans,0.530826393,2015
MS-GW-04673,33.3072,-90.8964,Corn,0.15,2017
MS-GW-04673,33.3072,-90.8964,Corn,0.35,2018
MS-GW-04674,33.3072,-90.8964,Corn,0.214804641,2019
MS-GW-04674,33.2611,-90.9011,Soybeans,0.573330798,2014
MS-GW-04674,33.2611,-90.9011,Soybeans,0.768441065,2015
MS-GW-04675,33.2611,-90.9011,Soybeans,0.73,2016
MS-GW-04675,33.2611,-90.9011,Soybeans,0.35,2017
